_id,Crash_Year,Crash_PoliceRegion,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Restraint_Helmet_Use,Casualty_Count
4932,2003,South Eastern,Hospitalised,0 to 16,Male,Vehicle Occupant,Unrestrained,4
4933,2003,South Eastern,Hospitalised,17 to 24,Male,Bicyclist,Helmet Not Worn,2
4934,2003,South Eastern,Hospitalised,17 to 24,Male,Bicyclist,Helmet Use Not determined,1
4935,2003,South Eastern,Hospitalised,17 to 24,Male,Bicyclist,Helmet Worn,4
4936,2003,South Eastern,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Not Worn,1
4937,2003,South Eastern,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Use Not determined,5
4938,2003,South Eastern,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Worn,35
4939,2003,South Eastern,Hospitalised,17 to 24,Male,Vehicle Occupant,Not applicable,1
4940,2003,South Eastern,Hospitalised,17 to 24,Male,Vehicle Occupant,Restrained,99
4941,2003,South Eastern,Hospitalised,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,33
4942,2003,South Eastern,Hospitalised,17 to 24,Male,Vehicle Occupant,Unrestrained,10
4943,2003,South Eastern,Hospitalised,25 to 29,Male,Bicyclist,Helmet Use Not determined,1
4944,2003,South Eastern,Hospitalised,25 to 29,Male,Bicyclist,Helmet Worn,2
4945,2003,South Eastern,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Worn,24
4946,2003,South Eastern,Hospitalised,25 to 29,Male,Vehicle Occupant,Not applicable,1
4947,2003,South Eastern,Hospitalised,25 to 29,Male,Vehicle Occupant,Restrained,26
4948,2003,South Eastern,Hospitalised,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,14
4949,2003,South Eastern,Hospitalised,25 to 29,Male,Vehicle Occupant,Unrestrained,4
4950,2003,South Eastern,Hospitalised,30 to 39,Male,Bicyclist,Helmet Not Worn,1
4951,2003,South Eastern,Hospitalised,30 to 39,Male,Bicyclist,Helmet Use Not determined,1
4952,2003,South Eastern,Hospitalised,30 to 39,Male,Bicyclist,Helmet Worn,2
4953,2003,South Eastern,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Not Worn,2
4954,2003,South Eastern,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Use Not determined,2
4955,2003,South Eastern,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Worn,40
4956,2003,South Eastern,Hospitalised,30 to 39,Male,Vehicle Occupant,Not applicable,1
4957,2003,South Eastern,Hospitalised,30 to 39,Male,Vehicle Occupant,Restrained,48
4958,2003,South Eastern,Hospitalised,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,15
4959,2003,South Eastern,Hospitalised,30 to 39,Male,Vehicle Occupant,Unrestrained,2
4960,2003,South Eastern,Hospitalised,40 to 49,Male,Bicyclist,Helmet Worn,4
4961,2003,South Eastern,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Use Not determined,1
4962,2003,South Eastern,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Worn,18
4963,2003,South Eastern,Hospitalised,40 to 49,Male,Vehicle Occupant,Not applicable,1
4964,2003,South Eastern,Hospitalised,40 to 49,Male,Vehicle Occupant,Restrained,37
4965,2003,South Eastern,Hospitalised,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,14
4966,2003,South Eastern,Hospitalised,40 to 49,Male,Vehicle Occupant,Unrestrained,3
4967,2003,South Eastern,Hospitalised,50 to 59,Male,Bicyclist,Helmet Use Not determined,1
4968,2003,South Eastern,Hospitalised,50 to 59,Male,Bicyclist,Helmet Worn,1
4969,2003,South Eastern,Hospitalised,50 to 59,Male,Motorcyclist,Helmet Worn,9
4970,2003,South Eastern,Hospitalised,50 to 59,Male,Vehicle Occupant,Restrained,22
4971,2003,South Eastern,Hospitalised,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,9
4972,2003,South Eastern,Hospitalised,50 to 59,Male,Vehicle Occupant,Unrestrained,2
4973,2003,South Eastern,Hospitalised,60 to 74,Male,Bicyclist,Helmet Worn,4
4974,2003,South Eastern,Hospitalised,60 to 74,Male,Vehicle Occupant,Restrained,21
4975,2003,South Eastern,Hospitalised,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,7
4976,2003,South Eastern,Hospitalised,60 to 74,Male,Vehicle Occupant,Unrestrained,1
4977,2003,South Eastern,Hospitalised,75 and over,Male,Bicyclist,Helmet Worn,1
4978,2003,South Eastern,Hospitalised,75 and over,Male,Vehicle Occupant,Not applicable,1
4979,2003,South Eastern,Hospitalised,75 and over,Male,Vehicle Occupant,Restrained,25
4980,2003,South Eastern,Hospitalised,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,3
4981,2003,South Eastern,Hospitalised,75 and over,Male,Vehicle Occupant,Unrestrained,1
4982,2003,South Eastern,Hospitalised,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,1
4983,2003,South Eastern,Hospitalised,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,2
4984,2003,South Eastern,Medically treated,0 to 16,Female,Bicyclist,Helmet Not Worn,1
4985,2003,South Eastern,Medically treated,0 to 16,Female,Vehicle Occupant,Restrained,60
4986,2003,South Eastern,Medically treated,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,3
4987,2003,South Eastern,Medically treated,0 to 16,Female,Vehicle Occupant,Unrestrained,6
4988,2003,South Eastern,Medically treated,17 to 24,Female,Bicyclist,Helmet Not Worn,1
4989,2003,South Eastern,Medically treated,17 to 24,Female,Motorcyclist,Helmet Worn,4
4990,2003,South Eastern,Medically treated,17 to 24,Female,Vehicle Occupant,Restrained,150
4991,2003,South Eastern,Medically treated,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,21
4992,2003,South Eastern,Medically treated,17 to 24,Female,Vehicle Occupant,Unrestrained,1
4993,2003,South Eastern,Medically treated,25 to 29,Female,Motorcyclist,Helmet Worn,4
4994,2003,South Eastern,Medically treated,25 to 29,Female,Vehicle Occupant,Restrained,74
4995,2003,South Eastern,Medically treated,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,7
4996,2003,South Eastern,Medically treated,25 to 29,Female,Vehicle Occupant,Unrestrained,2
4997,2003,South Eastern,Medically treated,30 to 39,Female,Motorcyclist,Helmet Use Not determined,1
4998,2003,South Eastern,Medically treated,30 to 39,Female,Motorcyclist,Helmet Worn,5
4999,2003,South Eastern,Medically treated,30 to 39,Female,Vehicle Occupant,Restrained,95
5000,2003,South Eastern,Medically treated,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,10
5001,2003,South Eastern,Medically treated,30 to 39,Female,Vehicle Occupant,Unrestrained,4
5002,2003,South Eastern,Medically treated,40 to 49,Female,Bicyclist,Helmet Worn,1
5003,2003,South Eastern,Medically treated,40 to 49,Female,Motorcyclist,Helmet Not Worn,1
5004,2003,South Eastern,Medically treated,40 to 49,Female,Motorcyclist,Helmet Worn,2
5005,2003,South Eastern,Medically treated,40 to 49,Female,Vehicle Occupant,Restrained,95
5006,2003,South Eastern,Medically treated,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,8
5007,2003,South Eastern,Medically treated,50 to 59,Female,Bicyclist,Helmet Worn,1
5008,2003,South Eastern,Medically treated,50 to 59,Female,Vehicle Occupant,Restrained,69
5009,2003,South Eastern,Medically treated,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,8
5010,2003,South Eastern,Medically treated,50 to 59,Female,Vehicle Occupant,Unrestrained,2
5011,2003,South Eastern,Medically treated,60 to 74,Female,Bicyclist,Helmet Worn,1
5012,2003,South Eastern,Medically treated,60 to 74,Female,Vehicle Occupant,Restrained,44
5013,2003,South Eastern,Medically treated,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,8
5014,2003,South Eastern,Medically treated,75 and over,Female,Vehicle Occupant,Restrained,20
5015,2003,South Eastern,Medically treated,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,3
5016,2003,South Eastern,Medically treated,75 and over,Female,Vehicle Occupant,Unrestrained,1
5017,2003,South Eastern,Medically treated,Unknown,Female,Bicyclist,Helmet Use Not determined,1
5018,2003,South Eastern,Medically treated,Unknown,Female,Motorcyclist,Helmet Use Not determined,1
5019,2003,South Eastern,Medically treated,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,11
5020,2003,South Eastern,Medically treated,0 to 16,Male,Bicyclist,Helmet Not Worn,3
5021,2003,South Eastern,Medically treated,0 to 16,Male,Bicyclist,Helmet Use Not determined,2
5022,2003,South Eastern,Medically treated,0 to 16,Male,Bicyclist,Helmet Worn,8
5023,2003,South Eastern,Medically treated,0 to 16,Male,Vehicle Occupant,Restrained,44
5024,2003,South Eastern,Medically treated,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,3
5025,2003,South Eastern,Medically treated,0 to 16,Male,Vehicle Occupant,Unrestrained,1
5026,2003,South Eastern,Medically treated,17 to 24,Male,Bicyclist,Helmet Not Worn,1
5027,2003,South Eastern,Medically treated,17 to 24,Male,Bicyclist,Helmet Worn,6
5028,2003,South Eastern,Medically treated,17 to 24,Male,Motorcyclist,Helmet Use Not determined,1
5029,2003,South Eastern,Medically treated,17 to 24,Male,Motorcyclist,Helmet Worn,19
5030,2003,South Eastern,Medically treated,17 to 24,Male,Vehicle Occupant,Not applicable,1
5031,2003,South Eastern,Medically treated,17 to 24,Male,Vehicle Occupant,Restrained,123
5032,2003,South Eastern,Medically treated,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,29
5033,2003,South Eastern,Medically treated,17 to 24,Male,Vehicle Occupant,Unrestrained,4
5034,2003,South Eastern,Medically treated,25 to 29,Male,Bicyclist,Helmet Worn,3
5035,2003,South Eastern,Medically treated,25 to 29,Male,Motorcyclist,Helmet Use Not determined,1
5036,2003,South Eastern,Medically treated,25 to 29,Male,Motorcyclist,Helmet Worn,15
5037,2003,South Eastern,Medically treated,25 to 29,Male,Vehicle Occupant,Restrained,53
5038,2003,South Eastern,Medically treated,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,10
5039,2003,South Eastern,Medically treated,25 to 29,Male,Vehicle Occupant,Unrestrained,2
5040,2003,South Eastern,Medically treated,30 to 39,Male,Bicyclist,Helmet Worn,7
5041,2003,South Eastern,Medically treated,30 to 39,Male,Motorcyclist,Helmet Use Not determined,1
5042,2003,South Eastern,Medically treated,30 to 39,Male,Motorcyclist,Helmet Worn,23
5043,2003,South Eastern,Medically treated,30 to 39,Male,Vehicle Occupant,Restrained,68
5044,2003,South Eastern,Medically treated,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,8
5045,2003,South Eastern,Medically treated,30 to 39,Male,Vehicle Occupant,Unrestrained,4
5046,2003,South Eastern,Medically treated,40 to 49,Male,Bicyclist,Helmet Worn,3
5047,2003,South Eastern,Medically treated,40 to 49,Male,Motorcyclist,Helmet Use Not determined,1
5048,2003,South Eastern,Medically treated,40 to 49,Male,Motorcyclist,Helmet Worn,12
5049,2003,South Eastern,Medically treated,40 to 49,Male,Vehicle Occupant,Restrained,52
5050,2003,South Eastern,Medically treated,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,13
5051,2003,South Eastern,Medically treated,50 to 59,Male,Bicyclist,Helmet Worn,3
5052,2003,South Eastern,Medically treated,50 to 59,Male,Motorcyclist,Helmet Worn,3
5053,2003,South Eastern,Medically treated,50 to 59,Male,Vehicle Occupant,Restrained,38
5054,2003,South Eastern,Medically treated,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,11
5055,2003,South Eastern,Medically treated,50 to 59,Male,Vehicle Occupant,Unrestrained,3
5056,2003,South Eastern,Medically treated,60 to 74,Male,Bicyclist,Helmet Use Not determined,1
5057,2003,South Eastern,Medically treated,60 to 74,Male,Bicyclist,Helmet Worn,5
5058,2003,South Eastern,Medically treated,60 to 74,Male,Motorcyclist,Helmet Use Not determined,1
5059,2003,South Eastern,Medically treated,60 to 74,Male,Motorcyclist,Helmet Worn,1
5060,2003,South Eastern,Medically treated,60 to 74,Male,Vehicle Occupant,Restrained,28
5061,2003,South Eastern,Medically treated,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,6
5062,2003,South Eastern,Medically treated,60 to 74,Male,Vehicle Occupant,Unrestrained,1
5063,2003,South Eastern,Medically treated,75 and over,Male,Bicyclist,Helmet Worn,1
5064,2003,South Eastern,Medically treated,75 and over,Male,Vehicle Occupant,Not applicable,1
5065,2003,South Eastern,Medically treated,75 and over,Male,Vehicle Occupant,Restrained,14
5066,2003,South Eastern,Medically treated,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,3
5067,2003,South Eastern,Medically treated,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,3
5068,2003,South Eastern,Medically treated,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,7
5069,2003,South Eastern,Minor injury,0 to 16,Female,Vehicle Occupant,Restrained,18
5070,2003,South Eastern,Minor injury,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,7
5071,2003,South Eastern,Minor injury,0 to 16,Female,Vehicle Occupant,Unrestrained,3
5072,2003,South Eastern,Minor injury,17 to 24,Female,Bicyclist,Helmet Use Not determined,2
5073,2003,South Eastern,Minor injury,17 to 24,Female,Vehicle Occupant,Restrained,91
5074,2003,South Eastern,Minor injury,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,23
5075,2003,South Eastern,Minor injury,17 to 24,Female,Vehicle Occupant,Unrestrained,1
5076,2003,South Eastern,Minor injury,25 to 29,Female,Bicyclist,Helmet Worn,1
5077,2003,South Eastern,Minor injury,25 to 29,Female,Motorcyclist,Helmet Use Not determined,1
5078,2003,South Eastern,Minor injury,25 to 29,Female,Vehicle Occupant,Restrained,33
5079,2003,South Eastern,Minor injury,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,8
5080,2003,South Eastern,Minor injury,25 to 29,Female,Vehicle Occupant,Unrestrained,1
5081,2003,South Eastern,Minor injury,30 to 39,Female,Bicyclist,Helmet Worn,3
5082,2003,South Eastern,Minor injury,30 to 39,Female,Vehicle Occupant,Restrained,51
5083,2003,South Eastern,Minor injury,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,13
5084,2003,South Eastern,Minor injury,30 to 39,Female,Vehicle Occupant,Unrestrained,1
5085,2003,South Eastern,Minor injury,40 to 49,Female,Vehicle Occupant,Restrained,50
5086,2003,South Eastern,Minor injury,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,10
5087,2003,South Eastern,Minor injury,50 to 59,Female,Vehicle Occupant,Restrained,27
5088,2003,South Eastern,Minor injury,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,8
5089,2003,South Eastern,Minor injury,60 to 74,Female,Vehicle Occupant,Restrained,18
5090,2003,South Eastern,Minor injury,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,4
5091,2003,South Eastern,Minor injury,75 and over,Female,Vehicle Occupant,Restrained,4
5092,2003,South Eastern,Minor injury,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,2
5093,2003,South Eastern,Minor injury,Unknown,Female,Motorcyclist,Helmet Worn,1
5094,2003,South Eastern,Minor injury,Unknown,Female,Vehicle Occupant,Restrained,1
5095,2003,South Eastern,Minor injury,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,1
5096,2003,South Eastern,Minor injury,0 to 16,Male,Bicyclist,Helmet Not Worn,5
5097,2003,South Eastern,Minor injury,0 to 16,Male,Bicyclist,Helmet Use Not determined,4
5098,2003,South Eastern,Minor injury,0 to 16,Male,Bicyclist,Helmet Worn,4
5099,2003,South Eastern,Minor injury,0 to 16,Male,Vehicle Occupant,Restrained,27
5100,2003,South Eastern,Minor injury,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,6
5101,2003,South Eastern,Minor injury,0 to 16,Male,Vehicle Occupant,Unrestrained,3
5102,2003,South Eastern,Minor injury,17 to 24,Male,Bicyclist,Helmet Not Worn,1
5103,2003,South Eastern,Minor injury,17 to 24,Male,Bicyclist,Helmet Use Not determined,3
5104,2003,South Eastern,Minor injury,17 to 24,Male,Bicyclist,Helmet Worn,3
5105,2003,South Eastern,Minor injury,17 to 24,Male,Motorcyclist,Helmet Use Not determined,2
5106,2003,South Eastern,Minor injury,17 to 24,Male,Motorcyclist,Helmet Worn,5
5107,2003,South Eastern,Minor injury,17 to 24,Male,Vehicle Occupant,Restrained,70
5108,2003,South Eastern,Minor injury,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,31
5109,2003,South Eastern,Minor injury,17 to 24,Male,Vehicle Occupant,Unrestrained,1
5110,2003,South Eastern,Minor injury,25 to 29,Male,Bicyclist,Helmet Use Not determined,1
5111,2003,South Eastern,Minor injury,25 to 29,Male,Bicyclist,Helmet Worn,1
5112,2003,South Eastern,Minor injury,25 to 29,Male,Motorcyclist,Helmet Use Not determined,1
5113,2003,South Eastern,Minor injury,25 to 29,Male,Motorcyclist,Helmet Worn,5
5114,2003,South Eastern,Minor injury,25 to 29,Male,Vehicle Occupant,Restrained,31
5115,2003,South Eastern,Minor injury,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,10
5116,2003,South Eastern,Minor injury,30 to 39,Male,Bicyclist,Helmet Not Worn,1
5117,2003,South Eastern,Minor injury,30 to 39,Male,Bicyclist,Helmet Use Not determined,1
5118,2003,South Eastern,Minor injury,30 to 39,Male,Bicyclist,Helmet Worn,2
5119,2003,South Eastern,Minor injury,30 to 39,Male,Motorcyclist,Helmet Use Not determined,6
5120,2003,South Eastern,Minor injury,30 to 39,Male,Motorcyclist,Helmet Worn,4
5121,2003,South Eastern,Minor injury,30 to 39,Male,Vehicle Occupant,Not applicable,1
5122,2003,South Eastern,Minor injury,30 to 39,Male,Vehicle Occupant,Restrained,57
5123,2003,South Eastern,Minor injury,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,17
5124,2003,South Eastern,Minor injury,30 to 39,Male,Vehicle Occupant,Unrestrained,1
5125,2003,South Eastern,Minor injury,40 to 49,Male,Bicyclist,Helmet Worn,3
5126,2003,South Eastern,Minor injury,40 to 49,Male,Motorcyclist,Helmet Use Not determined,2
5127,2003,South Eastern,Minor injury,40 to 49,Male,Motorcyclist,Helmet Worn,2
5128,2003,South Eastern,Minor injury,40 to 49,Male,Vehicle Occupant,Restrained,40
5129,2003,South Eastern,Minor injury,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,11
5130,2003,South Eastern,Minor injury,40 to 49,Male,Vehicle Occupant,Unrestrained,1
5131,2003,South Eastern,Minor injury,50 to 59,Male,Bicyclist,Helmet Worn,1
5132,2003,South Eastern,Minor injury,50 to 59,Male,Motorcyclist,Helmet Worn,3
5133,2003,South Eastern,Minor injury,50 to 59,Male,Vehicle Occupant,Restrained,20
5134,2003,South Eastern,Minor injury,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,9
5135,2003,South Eastern,Minor injury,50 to 59,Male,Vehicle Occupant,Unrestrained,1
5136,2003,South Eastern,Minor injury,60 to 74,Male,Bicyclist,Helmet Worn,1
5137,2003,South Eastern,Minor injury,60 to 74,Male,Motorcyclist,Helmet Use Not determined,2
5138,2003,South Eastern,Minor injury,60 to 74,Male,Vehicle Occupant,Restrained,14
5139,2003,South Eastern,Minor injury,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,7
5140,2003,South Eastern,Minor injury,75 and over,Male,Bicyclist,Helmet Use Not determined,1
5141,2003,South Eastern,Minor injury,75 and over,Male,Vehicle Occupant,Restrained,2
5142,2003,South Eastern,Minor injury,Unknown,Male,Bicyclist,Helmet Not Worn,1
5143,2003,South Eastern,Minor injury,Unknown,Male,Bicyclist,Helmet Use Not determined,2
5144,2003,South Eastern,Minor injury,Unknown,Male,Motorcyclist,Helmet Use Not determined,1
5145,2003,South Eastern,Minor injury,Unknown,Male,Motorcyclist,Helmet Worn,1
5146,2003,South Eastern,Minor injury,Unknown,Male,Vehicle Occupant,Restrained,1
5147,2003,South Eastern,Minor injury,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,2
5148,2003,South Eastern,Minor injury,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,3
5149,2003,Southern,Fatality,17 to 24,Female,Vehicle Occupant,Restrained,2
5150,2003,Southern,Fatality,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,3
5151,2003,Southern,Fatality,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,1
5152,2003,Southern,Fatality,40 to 49,Female,Vehicle Occupant,Restrained,2
5153,2003,Southern,Fatality,60 to 74,Female,Vehicle Occupant,Restrained,3
5154,2003,Southern,Fatality,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,1
5155,2003,Southern,Fatality,75 and over,Female,Vehicle Occupant,Restrained,1
5156,2003,Southern,Fatality,0 to 16,Male,Motorcyclist,Helmet Worn,1
5157,2003,Southern,Fatality,0 to 16,Male,Vehicle Occupant,Restrained,1
5158,2003,Southern,Fatality,0 to 16,Male,Vehicle Occupant,Unrestrained,2
5159,2003,Southern,Fatality,17 to 24,Male,Vehicle Occupant,Restrained,4
5160,2003,Southern,Fatality,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,5
5161,2003,Southern,Fatality,30 to 39,Male,Motorcyclist,Helmet Worn,1
5162,2003,Southern,Fatality,30 to 39,Male,Vehicle Occupant,Restrained,1
5163,2003,Southern,Fatality,30 to 39,Male,Vehicle Occupant,Unrestrained,3
5164,2003,Southern,Fatality,40 to 49,Male,Vehicle Occupant,Restrained,4
5165,2003,Southern,Fatality,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,1
5166,2003,Southern,Fatality,50 to 59,Male,Motorcyclist,Helmet Worn,1
5167,2003,Southern,Fatality,50 to 59,Male,Vehicle Occupant,Restrained,3
5168,2003,Southern,Fatality,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,2
5169,2003,Southern,Fatality,60 to 74,Male,Vehicle Occupant,Not applicable,1
5170,2003,Southern,Fatality,60 to 74,Male,Vehicle Occupant,Restrained,1
5171,2003,Southern,Fatality,75 and over,Male,Vehicle Occupant,Unrestrained,1
5172,2003,Southern,Hospitalised,0 to 16,Female,Bicyclist,Helmet Not Worn,1
5173,2003,Southern,Hospitalised,0 to 16,Female,Bicyclist,Helmet Worn,3
5174,2003,Southern,Hospitalised,0 to 16,Female,Motorcyclist,Helmet Not Worn,1
5175,2003,Southern,Hospitalised,0 to 16,Female,Vehicle Occupant,Restrained,13
5176,2003,Southern,Hospitalised,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,4
5177,2003,Southern,Hospitalised,0 to 16,Female,Vehicle Occupant,Unrestrained,4
5178,2003,Southern,Hospitalised,17 to 24,Female,Bicyclist,Helmet Worn,1
5179,2003,Southern,Hospitalised,17 to 24,Female,Vehicle Occupant,Restrained,72
5180,2003,Southern,Hospitalised,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,5
5181,2003,Southern,Hospitalised,17 to 24,Female,Vehicle Occupant,Unrestrained,6
5182,2003,Southern,Hospitalised,25 to 29,Female,Bicyclist,Helmet Not Worn,1
5183,2003,Southern,Hospitalised,25 to 29,Female,Vehicle Occupant,Restrained,24
5184,2003,Southern,Hospitalised,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,1
5185,2003,Southern,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Worn,2
5186,2003,Southern,Hospitalised,30 to 39,Female,Vehicle Occupant,Restrained,38
5187,2003,Southern,Hospitalised,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,5
5188,2003,Southern,Hospitalised,30 to 39,Female,Vehicle Occupant,Unrestrained,2
5189,2003,Southern,Hospitalised,40 to 49,Female,Motorcyclist,Helmet Worn,2
5190,2003,Southern,Hospitalised,40 to 49,Female,Vehicle Occupant,Restrained,35
5191,2003,Southern,Hospitalised,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,1
5192,2003,Southern,Hospitalised,40 to 49,Female,Vehicle Occupant,Unrestrained,2
5193,2003,Southern,Hospitalised,50 to 59,Female,Bicyclist,Helmet Worn,1
5194,2003,Southern,Hospitalised,50 to 59,Female,Motorcyclist,Helmet Worn,1
5195,2003,Southern,Hospitalised,50 to 59,Female,Vehicle Occupant,Restrained,32
5196,2003,Southern,Hospitalised,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,2
5197,2003,Southern,Hospitalised,50 to 59,Female,Vehicle Occupant,Unrestrained,1
5198,2003,Southern,Hospitalised,60 to 74,Female,Vehicle Occupant,Not applicable,1
5199,2003,Southern,Hospitalised,60 to 74,Female,Vehicle Occupant,Restrained,28
5200,2003,Southern,Hospitalised,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,1
5201,2003,Southern,Hospitalised,60 to 74,Female,Vehicle Occupant,Unrestrained,1
5202,2003,Southern,Hospitalised,75 and over,Female,Vehicle Occupant,Restrained,9
5203,2003,Southern,Hospitalised,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,1
5204,2003,Southern,Hospitalised,75 and over,Female,Vehicle Occupant,Unrestrained,1
5205,2003,Southern,Hospitalised,Unknown,Female,Vehicle Occupant,Restrained,1
5206,2003,Southern,Hospitalised,0 to 16,Male,Bicyclist,Helmet Not Worn,2
5207,2003,Southern,Hospitalised,0 to 16,Male,Bicyclist,Helmet Use Not determined,1
5208,2003,Southern,Hospitalised,0 to 16,Male,Bicyclist,Helmet Worn,4
5209,2003,Southern,Hospitalised,0 to 16,Male,Motorcyclist,Helmet Worn,2
5210,2003,Southern,Hospitalised,0 to 16,Male,Vehicle Occupant,Restrained,18
5211,2003,Southern,Hospitalised,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,1
5212,2003,Southern,Hospitalised,0 to 16,Male,Vehicle Occupant,Unrestrained,3
5213,2003,Southern,Hospitalised,17 to 24,Male,Bicyclist,Helmet Use Not determined,1
5214,2003,Southern,Hospitalised,17 to 24,Male,Bicyclist,Helmet Worn,3
5215,2003,Southern,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Not Worn,1
5216,2003,Southern,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Use Not determined,1
5217,2003,Southern,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Worn,18
5218,2003,Southern,Hospitalised,17 to 24,Male,Vehicle Occupant,Restrained,83
5219,2003,Southern,Hospitalised,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,19
5220,2003,Southern,Hospitalised,17 to 24,Male,Vehicle Occupant,Unrestrained,9
5221,2003,Southern,Hospitalised,25 to 29,Male,Bicyclist,Helmet Worn,2
5222,2003,Southern,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Worn,2
5223,2003,Southern,Hospitalised,25 to 29,Male,Vehicle Occupant,Restrained,25
5224,2003,Southern,Hospitalised,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,4
5225,2003,Southern,Hospitalised,25 to 29,Male,Vehicle Occupant,Unrestrained,5
5226,2003,Southern,Hospitalised,30 to 39,Male,Bicyclist,Helmet Worn,3
5227,2003,Southern,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Worn,14
5228,2003,Southern,Hospitalised,30 to 39,Male,Vehicle Occupant,Restrained,33
5229,2003,Southern,Hospitalised,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,8
5230,2003,Southern,Hospitalised,30 to 39,Male,Vehicle Occupant,Unrestrained,5
5231,2003,Southern,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Worn,14
5232,2003,Southern,Hospitalised,40 to 49,Male,Vehicle Occupant,Restrained,30
5233,2003,Southern,Hospitalised,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,8
5234,2003,Southern,Hospitalised,40 to 49,Male,Vehicle Occupant,Unrestrained,3
