Crash_ID,Crash_Year,Crash_Severity,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Involving_Male_Driver_x,Involving_Female_Driver_x,Involving_Senior_Driver_60plus_x,Involving_Provisional_Driver_x,Involving_Overseas_Licensed_Driver_x,Involving_Young_Driver_16-24_x,Involving_Unlicensed_Driver_x,Primary_Reason_ID,Driver_Category_ID,Location_ID,Primary_Reason,Driver_Category,Location,Involving_Male_Driver_y,Involving_Female_Driver_y,Involving_Young_Driver_16-24_y,Involving_Senior_Driver_60plus_y,Involving_Provisional_Driver_y,Involving_Overseas_Licensed_Driver_y,Involving_Unlicensed_Driver_y,Count_Casualty_Fatality,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Count,Impact_Score
1535,2006,Medical treatment,794,0,0,969,85,No,No,No,No,Yes,No,Yes,No,No,No,Yes,0,3,3,Other Reasons,Unlicensed,North Coast,Yes,No,No,Yes,No,No,Yes,0,Fatality,40 to 49,Male,Vehicle Occupant,2,2
1536,2006,Medical treatment,24,0,0,30,4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,1,7,3,Defective Vehicle,OverseasLicensed ,North Coast,Yes,No,No,Yes,No,Yes,No,0,Fatality,40 to 49,Male,Vehicle Occupant,1,1
1537,2006,Medical treatment,25,0,0,31,2,No,No,Yes,No,Yes,No,No,No,No,Yes,No,4,5,3,Fatigued Driver,Young_driver,North Coast,Yes,No,Yes,No,No,No,No,0,Fatality,50 to 59,Male,Vehicle Occupant,3,3
1538,2006,Medical treatment,1,0,0,2,0,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,4,3,3,Fatigued Driver,Unlicensed,North Coast,Yes,No,Yes,No,No,No,Yes,0,Fatality,60 to 74,Male,Bicyclist,1,1
1539,2006,Medical treatment,36,0,0,45,0,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,2,7,3,Driver Speed,OverseasLicensed ,North Coast,Yes,No,Yes,No,No,Yes,No,0,Fatality,60 to 74,Male,Vehicle Occupant,1,1
1540,2006,Medical treatment,1,0,0,1,0,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,2,4,3,Driver Speed,Provisional,North Coast,Yes,No,Yes,No,Yes,No,No,0,Fatality,75 and over,Male,Vehicle Occupant,3,3
1541,2006,Medical treatment,37,0,0,45,2,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,3,3,3,Drink Driving,Unlicensed,North Coast,Yes,No,Yes,No,Yes,No,Yes,0,Fatality,75 and over,Male,Vehicle Occupant,1,1
1542,2006,Medical treatment,2,0,0,3,0,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,3,2,3,Drink Driving,Senior,North Coast,Yes,No,Yes,Yes,No,No,No,0,Hospitalised,0 to 16,Female,Vehicle Occupant,14,14
1543,2006,Medical treatment,7,0,0,13,0,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,3,3,3,Drink Driving,Unlicensed,North Coast,Yes,No,Yes,Yes,No,No,Yes,0,Hospitalised,0 to 16,Female,Vehicle Occupant,2,2
1544,2006,Medical treatment,1,0,0,1,0,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,3,7,3,Drink Driving,OverseasLicensed ,North Coast,Yes,No,Yes,Yes,No,Yes,No,0,Hospitalised,0 to 16,Female,Vehicle Occupant,2,2
1545,2006,Minor injury,515,0,0,0,607,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,0,4,3,Other Reasons,Provisional,North Coast,Yes,No,Yes,Yes,Yes,No,No,0,Hospitalised,17 to 24,Female,Motorcyclist,1,1
1546,2006,Minor injury,11,0,0,0,14,No,No,No,Yes,Yes,Yes,No,No,No,No,No,1,1,3,Defective Vehicle,Female,North Coast,Yes,Yes,No,No,No,No,No,0,Hospitalised,17 to 24,Female,Vehicle Occupant,58,58
1547,2006,Minor injury,9,0,0,0,11,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,4,3,3,Fatigued Driver,Unlicensed,North Coast,Yes,Yes,No,No,No,No,Yes,0,Hospitalised,17 to 24,Female,Vehicle Occupant,10,10
1548,2006,Minor injury,22,0,0,0,24,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,2,7,3,Driver Speed,OverseasLicensed ,North Coast,Yes,Yes,No,No,No,Yes,No,0,Hospitalised,17 to 24,Female,Vehicle Occupant,3,3
1549,2006,Minor injury,2,0,0,0,4,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,2,3,Driver Speed,Senior,North Coast,Yes,Yes,No,Yes,No,No,No,0,Hospitalised,25 to 29,Female,Vehicle Occupant,1,1
1550,2006,Minor injury,20,0,0,0,22,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,3,3,3,Drink Driving,Unlicensed,North Coast,Yes,Yes,No,Yes,No,No,Yes,0,Hospitalised,25 to 29,Female,Vehicle Occupant,14,14
1551,2006,Minor injury,1,0,0,0,1,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,3,7,3,Drink Driving,OverseasLicensed ,North Coast,Yes,Yes,No,Yes,No,Yes,No,0,Hospitalised,25 to 29,Female,Vehicle Occupant,1,1
1552,2006,Minor injury,3,0,0,0,3,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,3,5,3,Drink Driving,Young_driver,North Coast,Yes,Yes,Yes,No,No,No,No,0,Hospitalised,30 to 39,Female,Motorcyclist,1,1
1553,2006,Minor injury,3,0,0,0,4,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,3,7,3,Drink Driving,OverseasLicensed ,North Coast,Yes,Yes,Yes,No,No,Yes,No,0,Hospitalised,30 to 39,Female,Vehicle Occupant,1,1
1554,2006,Property damage only,1434,0,0,0,0,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,0,4,3,Other Reasons,Provisional,North Coast,Yes,Yes,Yes,No,Yes,No,No,0,Hospitalised,30 to 39,Female,Vehicle Occupant,29,29
1555,2006,Property damage only,53,0,0,0,0,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,4,3,Defective Vehicle,Provisional,North Coast,Yes,Yes,Yes,No,Yes,Yes,No,0,Hospitalised,30 to 39,Female,Vehicle Occupant,3,3
1556,2006,Property damage only,24,0,0,0,0,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,4,2,3,Fatigued Driver,Senior,North Coast,Yes,Yes,Yes,Yes,No,No,No,0,Hospitalised,30 to 39,Female,Vehicle Occupant,1,1
1557,2006,Property damage only,112,0,0,0,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,2,4,3,Driver Speed,Provisional,North Coast,Yes,Yes,Yes,Yes,Yes,No,No,0,Hospitalised,40 to 49,Female,Motorcyclist,1,1
1558,2006,Property damage only,6,0,0,0,0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,2,1,3,Driver Speed,Female,North Coast,No,Yes,No,No,No,No,No,3,Hospitalised,40 to 49,Female,Vehicle Occupant,31,40
1559,2006,Property damage only,1,0,0,0,0,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,2,3,3,Driver Speed,Unlicensed,North Coast,No,Yes,No,Yes,No,No,Yes,1,Hospitalised,40 to 49,Female,Vehicle Occupant,1,4
1560,2006,Property damage only,122,0,0,0,0,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,3,4,3,Drink Driving,Provisional,North Coast,No,Yes,Yes,No,Yes,No,No,2,Hospitalised,50 to 59,Female,Motorcyclist,2,8
1561,2006,Property damage only,4,0,0,0,0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,3,6,3,Drink Driving,Male,North Coast,Yes,No,No,No,No,No,No,6,Hospitalised,50 to 59,Female,Vehicle Occupant,34,52
1562,2006,Property damage only,27,0,0,0,0,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,3,3,3,Drink Driving,Unlicensed,North Coast,Yes,No,No,No,No,No,Yes,2,Hospitalised,50 to 59,Female,Vehicle Occupant,2,8
1563,2006,Fatal,14,14,2,2,1,No,No,No,No,Yes,No,No,No,Yes,No,No,0,7,4,Other Reasons,OverseasLicensed ,Northern,Yes,No,No,No,No,Yes,No,1,Hospitalised,60 to 74,Female,Vehicle Occupant,23,26
1564,2006,Fatal,2,2,0,3,0,No,No,Yes,No,Yes,No,Yes,No,No,No,No,4,2,4,Fatigued Driver,Senior,Northern,Yes,No,No,Yes,No,No,No,2,Hospitalised,60 to 74,Female,Vehicle Occupant,2,8
1565,2006,Fatal,5,5,2,2,0,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,2,7,4,Driver Speed,OverseasLicensed ,Northern,Yes,No,No,Yes,No,Yes,No,2,Hospitalised,60 to 74,Female,Vehicle Occupant,1,7
1566,2006,Fatal,3,4,3,2,0,Yes,No,No,No,Yes,No,No,No,No,Yes,No,3,5,4,Drink Driving,Young_driver,Northern,Yes,No,Yes,No,No,No,No,1,Hospitalised,75 and over,Female,Vehicle Occupant,11,14
1567,2006,Fatal,3,3,4,1,1,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,3,4,4,Drink Driving,Provisional,Northern,Yes,No,Yes,No,Yes,No,No,2,Hospitalised,75 and over,Female,Vehicle Occupant,1,7
1568,2006,Hospitalisation,244,0,277,30,9,No,No,No,No,Yes,Yes,No,No,No,No,No,0,1,4,Other Reasons,Female,Northern,Yes,Yes,No,No,No,No,No,1,Hospitalised,75 and over,Female,Vehicle Occupant,1,4
1569,2006,Hospitalisation,8,0,9,2,0,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,1,2,4,Defective Vehicle,Senior,Northern,Yes,Yes,No,Yes,No,No,No,2,Hospitalised,Unknown,Female,Vehicle Occupant,1,7
1570,2006,Hospitalisation,10,0,11,1,0,No,No,Yes,No,No,No,No,No,No,No,No,4,0,4,Fatigued Driver,NotCategorised,Northern,No,No,No,No,No,No,No,0,Hospitalised,0 to 16,Male,Bicyclist,5,5
1571,2006,Hospitalisation,21,0,23,8,2,No,Yes,No,No,No,Yes,No,No,No,No,No,2,1,4,Driver Speed,Female,Northern,No,Yes,No,No,No,No,No,0,Hospitalised,0 to 16,Male,Bicyclist,1,1
1572,2006,Hospitalisation,34,0,44,3,0,Yes,No,No,No,No,Yes,No,No,No,No,Yes,3,3,4,Drink Driving,Unlicensed,Northern,No,Yes,No,No,No,No,Yes,0,Hospitalised,0 to 16,Male,Bicyclist,5,5
1573,2006,Hospitalisation,1,0,1,0,0,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,3,2,4,Drink Driving,Senior,Northern,No,Yes,No,Yes,No,No,No,0,Hospitalised,0 to 16,Male,Motorcyclist,1,1
1574,2006,Hospitalisation,7,0,7,5,0,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,3,5,4,Drink Driving,Young_driver,Northern,No,Yes,Yes,No,No,No,No,0,Hospitalised,0 to 16,Male,Vehicle Occupant,7,7
1575,2006,Medical treatment,255,0,0,315,26,No,No,No,No,No,Yes,No,Yes,No,Yes,No,0,4,4,Other Reasons,Provisional,Northern,No,Yes,Yes,No,Yes,No,No,0,Hospitalised,0 to 16,Male,Vehicle Occupant,6,6
1576,2006,Medical treatment,9,0,0,10,0,No,No,No,Yes,Yes,No,No,No,No,No,No,1,6,4,Defective Vehicle,Male,Northern,Yes,No,No,No,No,No,No,0,Hospitalised,0 to 16,Male,Vehicle Occupant,5,5
1577,2006,Medical treatment,7,0,0,9,0,No,No,Yes,No,Yes,No,No,No,No,No,Yes,4,3,4,Fatigued Driver,Unlicensed,Northern,Yes,No,No,No,No,No,Yes,0,Hospitalised,17 to 24,Male,Bicyclist,1,1
1578,2006,Medical treatment,1,0,0,1,0,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,4,7,4,Fatigued Driver,OverseasLicensed ,Northern,Yes,No,No,No,No,Yes,No,0,Hospitalised,17 to 24,Male,Bicyclist,2,2
1579,2006,Medical treatment,8,0,0,13,1,No,Yes,No,No,Yes,No,No,Yes,No,No,No,2,4,4,Driver Speed,Provisional,Northern,Yes,No,No,No,Yes,No,No,0,Hospitalised,17 to 24,Male,Motorcyclist,3,3
1580,2006,Medical treatment,1,0,0,2,1,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,2,2,4,Driver Speed,Senior,Northern,Yes,No,No,Yes,No,No,No,0,Hospitalised,17 to 24,Male,Motorcyclist,1,1
1581,2006,Medical treatment,12,0,0,13,3,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,3,3,4,Drink Driving,Unlicensed,Northern,Yes,No,No,Yes,No,No,Yes,0,Hospitalised,17 to 24,Male,Motorcyclist,9,9
1582,2006,Medical treatment,2,0,0,2,0,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,3,7,4,Drink Driving,OverseasLicensed ,Northern,Yes,No,No,Yes,No,Yes,No,0,Hospitalised,17 to 24,Male,Vehicle Occupant,50,50
1583,2006,Medical treatment,4,0,0,4,0,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,3,5,4,Drink Driving,Young_driver,Northern,Yes,No,Yes,No,No,No,No,0,Hospitalised,17 to 24,Male,Vehicle Occupant,30,30
1584,2006,Minor injury,167,0,0,0,195,No,No,No,No,Yes,No,No,No,No,Yes,Yes,0,3,4,Other Reasons,Unlicensed,Northern,Yes,No,Yes,No,No,No,Yes,0,Hospitalised,17 to 24,Male,Vehicle Occupant,9,9
1585,2006,Minor injury,2,0,0,0,2,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,1,7,4,Defective Vehicle,OverseasLicensed ,Northern,Yes,No,Yes,No,No,Yes,No,0,Hospitalised,25 to 29,Male,Bicyclist,1,1
1586,2006,Minor injury,4,0,0,0,6,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,4,4,4,Fatigued Driver,Provisional,Northern,Yes,No,Yes,No,Yes,No,No,0,Hospitalised,25 to 29,Male,Motorcyclist,1,1
1587,2006,Minor injury,6,0,0,0,6,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,2,3,4,Driver Speed,Unlicensed,Northern,Yes,No,Yes,No,Yes,No,Yes,0,Hospitalised,25 to 29,Male,Motorcyclist,2,2
1588,2006,Minor injury,1,0,0,0,1,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,2,4,4,Driver Speed,Provisional,Northern,Yes,No,Yes,Yes,Yes,No,No,0,Hospitalised,25 to 29,Male,Motorcyclist,6,6
1589,2006,Minor injury,7,0,0,0,11,Yes,No,No,No,Yes,Yes,No,No,No,No,No,3,1,4,Drink Driving,Female,Northern,Yes,Yes,No,No,No,No,No,0,Hospitalised,25 to 29,Male,Vehicle Occupant,19,19
1590,2006,Minor injury,1,0,0,0,1,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,3,3,4,Drink Driving,Unlicensed,Northern,Yes,Yes,No,No,No,No,Yes,0,Hospitalised,25 to 29,Male,Vehicle Occupant,7,7
1591,2006,Minor injury,3,0,0,0,3,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,3,7,4,Drink Driving,OverseasLicensed ,Northern,Yes,Yes,No,No,No,Yes,No,0,Hospitalised,25 to 29,Male,Vehicle Occupant,5,5
1592,2006,Property damage only,467,0,0,0,0,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,2,4,Other Reasons,Senior,Northern,Yes,Yes,No,Yes,No,No,No,0,Hospitalised,30 to 39,Male,Bicyclist,1,1
1593,2006,Property damage only,17,0,0,0,0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,4,4,Defective Vehicle,Provisional,Northern,Yes,Yes,No,Yes,Yes,No,No,0,Hospitalised,30 to 39,Male,Motorcyclist,20,20
1594,2006,Property damage only,1,0,0,0,0,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,4,5,4,Fatigued Driver,Young_driver,Northern,Yes,Yes,Yes,No,No,No,No,0,Hospitalised,30 to 39,Male,Vehicle Occupant,2,2
1595,2006,Property damage only,29,0,0,0,0,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,2,3,4,Driver Speed,Unlicensed,Northern,Yes,Yes,Yes,No,No,No,Yes,0,Hospitalised,30 to 39,Male,Vehicle Occupant,28,28
1596,2006,Property damage only,2,0,0,0,0,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,2,7,4,Driver Speed,OverseasLicensed ,Northern,Yes,Yes,Yes,No,No,Yes,No,0,Hospitalised,30 to 39,Male,Vehicle Occupant,11,11
1597,2006,Property damage only,50,0,0,0,0,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,3,4,4,Drink Driving,Provisional,Northern,Yes,Yes,Yes,No,Yes,No,No,0,Hospitalised,30 to 39,Male,Vehicle Occupant,4,4
1598,2006,Property damage only,1,0,0,0,0,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,4,4,Drink Driving,Provisional,Northern,Yes,Yes,Yes,No,Yes,Yes,No,0,Hospitalised,40 to 49,Male,Bicyclist,2,2
1599,2006,Property damage only,9,0,0,0,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,3,4,4,Drink Driving,Provisional,Northern,Yes,Yes,Yes,Yes,Yes,No,No,0,Hospitalised,40 to 49,Male,Motorcyclist,1,1
1600,2006,Fatal,29,29,4,9,2,No,No,No,No,No,No,No,No,No,No,No,0,0,5,Other Reasons,NotCategorised,South Eastern,No,No,No,No,No,No,No,0,Hospitalised,40 to 49,Male,Motorcyclist,9,9
1601,2006,Fatal,1,1,1,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,4,1,5,Fatigued Driver,Female,South Eastern,No,Yes,No,No,No,No,No,0,Hospitalised,40 to 49,Male,Vehicle Occupant,26,26
1602,2006,Fatal,4,4,2,0,0,No,Yes,No,No,No,Yes,No,No,No,No,Yes,2,3,5,Driver Speed,Unlicensed,South Eastern,No,Yes,No,No,No,No,Yes,0,Hospitalised,40 to 49,Male,Vehicle Occupant,9,9
1603,2006,Fatal,7,7,1,1,0,Yes,No,No,No,No,Yes,No,No,Yes,No,No,3,7,5,Drink Driving,OverseasLicensed ,South Eastern,No,Yes,No,No,No,Yes,No,0,Hospitalised,40 to 49,Male,Vehicle Occupant,4,4
1604,2006,Fatal,7,7,2,2,0,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,3,4,5,Drink Driving,Provisional,South Eastern,No,Yes,No,No,Yes,No,No,0,Hospitalised,50 to 59,Male,Motorcyclist,2,2
1605,2006,Hospitalisation,626,0,728,82,59,No,No,No,No,No,Yes,Yes,No,No,No,No,0,2,5,Other Reasons,Senior,South Eastern,No,Yes,No,Yes,No,No,No,0,Hospitalised,50 to 59,Male,Vehicle Occupant,25,25
1606,2006,Hospitalisation,20,0,23,1,3,No,No,No,Yes,No,Yes,No,No,No,Yes,No,1,5,5,Defective Vehicle,Young_driver,South Eastern,No,Yes,Yes,No,No,No,No,0,Hospitalised,50 to 59,Male,Vehicle Occupant,11,11
1607,2006,Hospitalisation,14,0,18,2,1,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,4,3,5,Fatigued Driver,Unlicensed,South Eastern,No,Yes,Yes,No,No,No,Yes,0,Hospitalised,50 to 59,Male,Vehicle Occupant,1,1
1608,2006,Hospitalisation,53,0,57,10,8,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,2,4,5,Driver Speed,Provisional,South Eastern,No,Yes,Yes,No,Yes,No,No,0,Hospitalised,60 to 74,Male,Motorcyclist,1,1
1609,2006,Hospitalisation,3,0,3,2,0,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,2,2,5,Driver Speed,Senior,South Eastern,No,Yes,Yes,Yes,No,No,No,0,Hospitalised,60 to 74,Male,Vehicle Occupant,25,25
1610,2006,Hospitalisation,90,0,109,13,6,Yes,No,No,No,Yes,No,No,No,No,No,No,3,6,5,Drink Driving,Male,South Eastern,Yes,No,No,No,No,No,No,0,Hospitalised,60 to 74,Male,Vehicle Occupant,3,3
1611,2006,Hospitalisation,1,0,1,0,0,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,3,3,5,Drink Driving,Unlicensed,South Eastern,Yes,No,No,No,No,No,Yes,0,Hospitalised,60 to 74,Male,Vehicle Occupant,2,2
1612,2006,Hospitalisation,19,0,23,3,0,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,3,7,5,Drink Driving,OverseasLicensed ,South Eastern,Yes,No,No,No,No,Yes,No,0,Hospitalised,75 and over,Male,Vehicle Occupant,1,1
1613,2006,Medical treatment,880,0,0,1071,102,No,No,No,No,Yes,No,Yes,No,No,No,No,0,2,5,Other Reasons,Senior,South Eastern,Yes,No,No,Yes,No,No,No,0,Hospitalised,75 and over,Male,Vehicle Occupant,16,16
1614,2006,Medical treatment,18,0,0,20,0,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,1,3,5,Defective Vehicle,Unlicensed,South Eastern,Yes,No,No,Yes,No,No,Yes,0,Hospitalised,75 and over,Male,Vehicle Occupant,2,2
1615,2006,Medical treatment,12,0,0,13,0,No,No,Yes,No,Yes,No,No,No,No,Yes,No,4,5,5,Fatigued Driver,Young_driver,South Eastern,Yes,No,Yes,No,No,No,No,0,Hospitalised,75 and over,Male,Vehicle Occupant,1,1
1616,2006,Medical treatment,33,0,0,44,4,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,2,3,5,Driver Speed,Unlicensed,South Eastern,Yes,No,Yes,No,No,No,Yes,0,Hospitalised,Unknown,Male,Vehicle Occupant,1,1
1617,2006,Medical treatment,1,0,0,1,0,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,2,7,5,Driver Speed,OverseasLicensed ,South Eastern,Yes,No,Yes,No,No,Yes,No,0,Medically treated,0 to 16,Female,Bicyclist,2,2
1618,2006,Medical treatment,57,0,0,64,6,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,3,4,5,Drink Driving,Provisional,South Eastern,Yes,No,Yes,No,Yes,No,No,0,Medically treated,0 to 16,Female,Vehicle Occupant,43,43
1619,2006,Medical treatment,1,0,0,1,0,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,3,4,5,Drink Driving,Provisional,South Eastern,Yes,No,Yes,No,Yes,Yes,No,0,Medically treated,0 to 16,Female,Vehicle Occupant,1,1
1620,2006,Medical treatment,4,0,0,7,1,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,3,7,5,Drink Driving,OverseasLicensed ,South Eastern,Yes,No,Yes,Yes,No,Yes,No,0,Medically treated,0 to 16,Female,Vehicle Occupant,1,1
1621,2006,Medical treatment,8,0,0,11,0,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,3,3,5,Drink Driving,Unlicensed,South Eastern,Yes,No,Yes,Yes,No,Yes,Yes,0,Medically treated,17 to 24,Female,Motorcyclist,1,1
1622,2006,Minor injury,413,0,0,0,496,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,0,4,5,Other Reasons,Provisional,South Eastern,Yes,No,Yes,Yes,Yes,No,No,0,Medically treated,17 to 24,Female,Vehicle Occupant,84,84
1623,2006,Minor injury,6,0,0,0,6,No,No,No,Yes,Yes,Yes,No,No,No,No,No,1,1,5,Defective Vehicle,Female,South Eastern,Yes,Yes,No,No,No,No,No,0,Medically treated,17 to 24,Female,Vehicle Occupant,7,7
1624,2006,Minor injury,12,0,0,0,12,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,4,3,5,Fatigued Driver,Unlicensed,South Eastern,Yes,Yes,No,No,No,No,Yes,0,Medically treated,17 to 24,Female,Vehicle Occupant,3,3
1625,2006,Minor injury,26,0,0,0,28,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,2,7,5,Driver Speed,OverseasLicensed ,South Eastern,Yes,Yes,No,No,No,Yes,No,0,Medically treated,25 to 29,Female,Motorcyclist,3,3
1626,2006,Minor injury,31,0,0,0,38,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,3,4,5,Drink Driving,Provisional,South Eastern,Yes,Yes,No,No,Yes,No,No,0,Medically treated,25 to 29,Female,Vehicle Occupant,33,33
1627,2006,Minor injury,3,0,0,0,3,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,3,2,5,Drink Driving,Senior,South Eastern,Yes,Yes,No,Yes,No,No,No,0,Medically treated,25 to 29,Female,Vehicle Occupant,2,2
1628,2006,Minor injury,5,0,0,0,6,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,3,5,5,Drink Driving,Young_driver,South Eastern,Yes,Yes,Yes,No,No,No,No,0,Medically treated,30 to 39,Female,Motorcyclist,1,1
1629,2006,Property damage only,772,0,0,0,0,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,0,3,5,Other Reasons,Unlicensed,South Eastern,Yes,Yes,Yes,No,No,No,Yes,0,Medically treated,30 to 39,Female,Vehicle Occupant,54,54
1630,2006,Property damage only,19,0,0,0,0,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,1,7,5,Defective Vehicle,OverseasLicensed ,South Eastern,Yes,Yes,Yes,No,No,Yes,No,0,Medically treated,30 to 39,Female,Vehicle Occupant,4,4
1631,2006,Property damage only,22,0,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,4,4,5,Fatigued Driver,Provisional,South Eastern,Yes,Yes,Yes,No,Yes,No,No,0,Medically treated,30 to 39,Female,Vehicle Occupant,1,1
1632,2006,Property damage only,60,0,0,0,0,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,2,3,5,Driver Speed,Unlicensed,South Eastern,Yes,Yes,Yes,No,Yes,No,Yes,0,Medically treated,40 to 49,Female,Vehicle Occupant,58,58
1633,2006,Property damage only,2,0,0,0,0,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,2,2,5,Driver Speed,Senior,South Eastern,Yes,Yes,Yes,Yes,No,No,No,0,Medically treated,40 to 49,Female,Vehicle Occupant,3,3
1634,2006,Property damage only,125,0,0,0,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,3,4,5,Drink Driving,Provisional,South Eastern,Yes,Yes,Yes,Yes,Yes,No,No,0,Medically treated,40 to 49,Female,Vehicle Occupant,1,1
1635,2006,Property damage only,3,0,0,0,0,Yes,No,No,Yes,No,No,No,No,No,No,No,3,0,5,Drink Driving,NotCategorised,South Eastern,No,No,No,No,No,No,No,0,Medically treated,50 to 59,Female,Motorcyclist,1,1
1636,2006,Property damage only,5,0,0,0,0,Yes,No,Yes,No,No,Yes,No,No,No,No,No,3,1,5,Drink Driving,Female,South Eastern,No,Yes,No,No,No,No,No,0,Medically treated,50 to 59,Female,Vehicle Occupant,33,33
1637,2006,Property damage only,21,0,0,0,0,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,3,4,5,Drink Driving,Provisional,South Eastern,No,Yes,No,No,Yes,No,No,0,Medically treated,50 to 59,Female,Vehicle Occupant,1,1
1638,2006,Fatal,33,38,16,10,5,No,No,No,No,No,Yes,Yes,No,No,No,No,0,2,6,Other Reasons,Senior,Southern,No,Yes,No,Yes,No,No,No,0,Medically treated,60 to 74,Female,Vehicle Occupant,36,36
1639,2006,Fatal,2,2,0,0,0,No,No,No,Yes,No,Yes,No,No,No,Yes,No,1,5,6,Defective Vehicle,Young_driver,Southern,No,Yes,Yes,No,No,No,No,0,Medically treated,60 to 74,Female,Vehicle Occupant,2,2
